City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
108,debre werk',10.6667,38.1667,12.2,82,99,1.07,ET,2024-09-15 04:26:57
109,tegal,-6.8694,109.1402,30.76,45,67,1.64,ID,2024-09-15 04:26:58
110,kodiak,57.79,-152.4072,13.73,94,100,1.54,US,2024-09-15 04:26:59
111,port lincoln,-34.7333,135.8667,12.76,51,1,7.65,AU,2024-09-15 04:27:00
112,kingston,17.997,-76.7936,29.53,79,20,1.54,JM,2024-09-15 04:27:01
113,petropavlovsk-kamchatsky,53.0452,158.6483,15.33,33,20,6.0,RU,2024-09-15 04:27:02
114,at taj,24.2049,23.2857,28.59,32,3,3.38,LY,2024-09-15 04:27:03
115,moroni,-11.7022,43.2551,24.79,75,1,1.44,KM,2024-09-15 04:27:04
116,nguigmi,14.2495,13.1092,29.14,62,95,4.02,NE,2024-09-15 04:27:05
117,fort st. john,56.2499,-120.8529,9.94,87,100,5.66,CA,2024-09-15 04:27:06
118,posse,-14.0931,-46.3694,21.26,45,2,3.33,BR,2024-09-15 04:27:07
119,wailua homesteads,22.0669,-159.378,26.44,73,0,6.69,US,2024-09-15 04:27:08
120,newman,37.3138,-121.0208,22.8,56,1,1.34,US,2024-09-15 04:23:31
121,east tamworth,-31.0894,150.9436,15.77,39,19,7.2,AU,2024-09-15 04:27:11
122,rabaul,-4.1967,152.1721,28.53,73,49,1.93,PG,2024-09-15 04:27:12
123,sao vicente,-23.9631,-46.3919,21.1,26,60,2.07,BR,2024-09-15 04:27:13
124,poso,-1.3959,120.7524,31.54,49,78,3.61,ID,2024-09-15 04:27:14
125,aasiaat,68.7098,-52.8699,-1.17,85,15,2.75,GL,2024-09-15 04:27:15
126,dolisie,-4.1997,12.6739,21.84,87,32,1.46,CG,2024-09-15 04:27:16
127,horta,38.5333,-28.6333,19.45,86,10,2.24,PT,2024-09-15 04:27:17
128,nahiyat ash shinafiyah,31.5874,44.6602,29.52,27,0,4.07,IQ,2024-09-15 04:27:18
129,antalaha,-14.9003,50.2788,21.81,89,96,5.54,MG,2024-09-15 04:27:19
